                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6571,                  6.726,                 4.2393,                0.00654,                      1,                0.00777,                0.00605,                  1.956,                 5.6122,                 4.1581,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 2.6245,                 5.7554,                 4.2032,                0.00641,                      1,                0.01951,                0.00698,                 1.9561,                 5.6169,                 4.1569,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                  2.336,                 6.0568,                 4.2123,                0.00676,                      1,                0.02073,                0.00772,                 1.9562,                 5.6201,                 4.1559,             0.00013072,             0.00013072,             0.00013072
                      4,                 2.6427,                 6.1463,                 4.1932,                0.00694,                      1,                0.01213,                0.00454,                 1.9573,                 5.6262,                 4.1537,             0.00017792,             0.00017792,             0.00017792
                      5,                 2.5791,                  6.128,                 4.1741,                0.00699,                      1,                0.01199,                 0.0052,                 1.9581,                 5.6282,                 4.1524,             0.00022414,             0.00022414,             0.00022414
                      6,                 2.8882,                 6.6893,                 4.2104,                0.00649,                      1,                0.00888,                0.00415,                 1.9605,                 5.6269,                 4.1497,             0.00026936,             0.00026936,             0.00026936
                      7,                 2.6297,                 6.3438,                  4.183,                0.00645,                      1,                0.00858,                0.00458,                 1.9624,                  5.622,                 4.1484,              0.0003136,              0.0003136,              0.0003136
                      8,                  2.721,                  6.824,                 4.1414,                0.00654,                      1,                0.00888,                0.00463,                 1.9651,                 5.6136,                 4.1472,             0.00035684,             0.00035684,             0.00035684
                      9,                 2.9564,                 5.7843,                 4.1343,                 0.0069,                      1,                0.00865,                0.00399,                 1.9711,                 5.5977,                 4.1462,             0.00039909,             0.00039909,             0.00039909
                     10,                 2.5933,                 6.1491,                 4.1643,                0.00676,                      1,                0.00802,                0.00389,                 1.9799,                 5.5721,                 4.1457,             0.00044036,             0.00044036,             0.00044036
                     11,                 3.0088,                  6.219,                 4.1199,                0.00704,                      1,                 0.0076,                 0.0015,                 1.9885,                 5.5437,                 4.1477,             0.00048063,             0.00048063,             0.00048063
                     12,                 2.7413,                 5.6394,                  4.115,                0.00704,                      1,                 0.0076,                 0.0015,                 1.9988,                 5.5069,                 4.1527,             0.00051991,             0.00051991,             0.00051991
                     13,                 2.7449,                 6.2926,                 4.0889,                0.00704,                      1,                 0.0076,                 0.0015,                 2.0087,                 5.4562,                 4.1617,              0.0005582,              0.0005582,              0.0005582
                     14,                 2.6792,                 6.3988,                 4.0508,                0.00704,                      1,                 0.0076,                 0.0015,                 2.0076,                 5.4174,                  4.179,             0.00059551,             0.00059551,             0.00059551
                     15,                 2.8214,                 5.7589,                  4.054,                0.00704,                      1,                 0.0076,                 0.0015,                 2.0076,                 5.4174,                  4.179,             0.00063182,             0.00063182,             0.00063182
                     16,                 2.3727,                 5.5362,                  3.933,                0.00704,                      1,                 0.0076,                 0.0015,                 2.0006,                 5.3686,                 4.2048,             0.00066714,             0.00066714,             0.00066714
                     17,                 2.8436,                 5.9883,                 4.0518,                0.00704,                      1,                 0.0076,                 0.0015,                 1.9965,                 5.2747,                 4.2431,             0.00070147,             0.00070147,             0.00070147
