                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.7873,3.4371,1.8601,0.00803,0.97965,0.41422,0.17463,1.5131,3.5327,1.3881,0.0032667,0.0032667,0.0032667
2,1.289,1.8117,1.4142,0.60918,0.70836,0.72014,0.39762,1.7163,1.963,1.4816,0.0065993,0.0065993,0.0065993
3,1.2289,1.5725,1.3606,0.69965,0.27877,0.37264,0.2149,1.4349,1.952,1.2882,0.0099314,0.0099314,0.0099314
4,1.2474,1.4281,1.3692,0.24892,0.49757,0.29406,0.14365,1.7386,14.451,1.6275,0.009997,0.009997,0.009997
5,1.2167,1.2898,1.3519,0.4947,0.52556,0.59377,0.38071,1.3824,1.4409,1.3145,0.009996,0.009996,0.009996
6,1.1645,1.1293,1.3136,0.82423,0.40817,0.49973,0.27462,1.5233,1.6834,1.3534,0.0099951,0.0099951,0.0099951
7,1.1345,1.0461,1.2974,0.70984,0.61953,0.64896,0.46062,1.136,1.1177,1.1393,0.0099941,0.0099941,0.0099941
8,1.1219,0.96627,1.2833,0.80782,0.59295,0.72391,0.4923,1.2571,1.0512,1.2146,0.0099931,0.0099931,0.0099931
9,1.1047,0.9395,1.2782,0.42067,0.56587,0.44509,0.24304,1.4523,2.0056,1.3967,0.0099921,0.0099921,0.0099921
10,1.0839,0.88146,1.2596,0.51145,0.48673,0.54561,0.34884,1.3978,1.2898,1.2698,0.0099911,0.0099911,0.0099911
11,1.0568,0.8299,1.2401,0.75797,0.63422,0.75217,0.51183,1.0978,1.0029,1.1431,0.0099901,0.0099901,0.0099901
12,1.0591,0.81428,1.2396,0.4889,0.79936,0.65448,0.43864,1.183,0.92144,1.187,0.0099891,0.0099891,0.0099891
13,1.0269,0.77583,1.2254,0.45185,0.70305,0.55817,0.38446,1.2203,1.0673,1.1798,0.0099881,0.0099881,0.0099881
14,1.0299,0.74587,1.2225,0.43551,0.51538,0.51063,0.38598,0.93652,0.98834,1.0178,0.0099871,0.0099871,0.0099871
15,1.0104,0.73835,1.2071,0.56851,0.74545,0.6482,0.43603,1.3879,0.93867,1.2248,0.0099861,0.0099861,0.0099861
16,1.0079,0.73337,1.2101,0.75648,0.84503,0.86838,0.63604,1.0361,0.72627,1.1347,0.0099851,0.0099851,0.0099851
17,0.99051,0.71401,1.1934,0.50189,0.75066,0.60194,0.43294,1.0545,0.90263,1.0859,0.0099842,0.0099842,0.0099842
18,0.98857,0.72537,1.2032,0.5651,0.63446,0.61416,0.41043,1.3064,1.1196,1.1972,0.0099832,0.0099832,0.0099832
19,0.96758,0.69638,1.1856,0.45399,0.67297,0.58788,0.38631,1.3891,1.1315,1.2891,0.0099822,0.0099822,0.0099822
20,0.96958,0.69445,1.1859,0.78396,0.63932,0.63841,0.49689,0.97158,0.95153,1.0563,0.0099812,0.0099812,0.0099812
21,0.94815,0.66246,1.1714,0.70321,0.75162,0.80355,0.61702,1.0126,0.76664,1.061,0.0099802,0.0099802,0.0099802
22,0.94806,0.67619,1.1739,0.46415,0.61259,0.48123,0.30974,1.4264,1.1059,1.2933,0.0099792,0.0099792,0.0099792
23,0.94571,0.6684,1.1701,0.46109,0.56655,0.57476,0.40081,1.1723,1.1245,1.1307,0.0099782,0.0099782,0.0099782
24,0.94673,0.65166,1.1725,0.50743,0.706,0.60648,0.47195,0.88752,0.90067,1.0194,0.0099772,0.0099772,0.0099772
25,0.9383,0.66244,1.1646,0.69673,0.67069,0.77271,0.60899,0.88089,0.84998,1.0622,0.0099762,0.0099762,0.0099762
26,0.91699,0.6377,1.1546,0.5307,0.74959,0.6597,0.47606,1.1836,0.94752,1.1282,0.0099753,0.0099753,0.0099753
27,0.91757,0.63119,1.1591,0.62673,0.75881,0.7224,0.48857,1.0504,0.85605,1.1052,0.0099743,0.0099743,0.0099743
28,0.92745,0.65031,1.1608,0.85752,0.58401,0.80336,0.62434,0.95467,0.82712,1.0645,0.0099733,0.0099733,0.0099733
29,0.9205,0.61321,1.1522,0.56642,0.76883,0.66423,0.40664,1.1856,0.9842,1.2344,0.0099723,0.0099723,0.0099723
30,0.90452,0.61902,1.1471,0.57911,0.78423,0.71436,0.55801,0.86328,0.76079,1.0261,0.0099713,0.0099713,0.0099713
31,0.90944,0.61382,1.1459,0.5437,0.71652,0.64383,0.49777,0.96966,0.93089,1.0707,0.0099703,0.0099703,0.0099703
32,0.8964,0.59302,1.1365,0.55151,0.61696,0.67432,0.53417,0.92817,0.83678,1.0556,0.0099693,0.0099693,0.0099693
33,0.87603,0.5929,1.1304,0.50992,0.66027,0.64812,0.46959,1.0812,0.89124,1.1165,0.0099683,0.0099683,0.0099683
34,0.86726,0.57122,1.1192,0.76806,0.57803,0.6378,0.47407,1.0067,0.9738,1.1042,0.0099673,0.0099673,0.0099673
35,0.87153,0.57882,1.1274,0.52759,0.62722,0.65589,0.51785,0.92,0.8855,1.005,0.0099663,0.0099663,0.0099663
36,0.8685,0.58688,1.1268,0.60423,0.76963,0.76948,0.54933,1.1528,0.79513,1.1243,0.0099654,0.0099654,0.0099654
37,0.87355,0.58159,1.1272,0.69837,0.68049,0.58981,0.46968,0.80831,0.94601,0.98165,0.0099644,0.0099644,0.0099644
38,0.86489,0.58242,1.1217,0.52895,0.65866,0.71052,0.55085,0.94652,0.81295,1.0164,0.0099634,0.0099634,0.0099634
39,0.86836,0.57376,1.1153,0.87912,0.8655,0.92524,0.7451,0.87099,0.55492,1.0017,0.0099624,0.0099624,0.0099624
40,0.85638,0.56306,1.1156,0.59479,0.81465,0.76371,0.62184,0.80484,0.66525,0.98728,0.0099614,0.0099614,0.0099614
41,0.84922,0.56058,1.1134,0.63333,0.79073,0.80114,0.58159,1.201,0.79283,1.145,0.0099604,0.0099604,0.0099604
42,0.84476,0.55863,1.1085,0.69871,0.7561,0.80327,0.63007,0.90351,0.77968,1.0035,0.0099594,0.0099594,0.0099594
43,0.83394,0.5444,1.0999,0.66849,0.84031,0.82689,0.65212,0.86707,0.69012,1.0051,0.0099584,0.0099584,0.0099584
44,0.83352,0.55421,1.1098,0.55351,0.63892,0.64954,0.53423,0.85487,0.81497,1.0148,0.0099574,0.0099574,0.0099574
45,0.84273,0.54531,1.1107,0.59401,0.70099,0.68015,0.5205,0.91582,0.72984,1.0402,0.0099564,0.0099564,0.0099564
46,0.83452,0.54907,1.1001,0.71071,0.67853,0.66579,0.53684,0.88255,0.8616,1.0308,0.0099555,0.0099555,0.0099555
47,0.82728,0.55082,1.102,0.56427,0.61497,0.65786,0.5497,0.76897,0.82073,0.97167,0.0099545,0.0099545,0.0099545
48,0.82071,0.54634,1.0964,0.54878,0.68385,0.6423,0.49831,0.91995,0.86107,1.0145,0.0099535,0.0099535,0.0099535
49,0.8065,0.52899,1.0921,0.59159,0.66659,0.67973,0.53042,0.90955,0.77338,1.0283,0.0099525,0.0099525,0.0099525
50,0.83792,0.55347,1.1052,0.67037,0.84887,0.80962,0.6672,0.84172,0.7341,0.98623,0.0099515,0.0099515,0.0099515
51,0.81724,0.54281,1.0956,0.69088,0.7006,0.79319,0.62558,0.8157,0.81453,1.0106,0.0099505,0.0099505,0.0099505
